S/N,Year,Site Location,Date of Cleanup,Organization,Name of Organiser,Total number of participants,Total number of trash bags filled,Weight of trash bags collected (kg),Total Distance (metres),DEBRIS SUMMARY,Most Likely to Find Items,Fishing Gear,Packaging Materials,Other Trash,Personal Hygiene,Items of Local Concern,TOTAL ITEMS,Most Likely to Find Items,Most Likely to Find Items.Cigarette Butts,"Most Likely to Find Items.Food Wrappers (candy, chips, etc)",Most Likely to Find Items.Take Out Containers (plastic),Most Likely to Find Items.Take Out Containers (foam),Most Likely to Find Items.Bottle Caps (plastic),Most Likely to Find Items.Bottle Caps (metal),Most Likely to Find Items.Lids (plastic),Most Likely to Find Items.Straws/Stirrers,"Most Likely to Find Items.Forks, Knives, Spoons",Most Likely to Find Items.Beverage Bottles (plastic),Most Likely to Find Items.Beverage Bottles (glass),Most Likely to Find Items.Beverage Cans,Most Likely to Find Items.Grocery Bags (plastic),Most Likely to Find Items.Other Plastic Bags,Most Likely to Find Items.Paper Bags,Most Likely to Find Items.Cups & Plates (paper),Most Likely to Find Items.Cups & Plates (plastic),Most Likely to Find Items.Cups & Plates (foam),Fishing Gear.Fishing Gear,Fishing Gear.Fishing Buoys,Fishing Gear.Fishing Net & Pieces,Fishing Gear.Rope (1 meter = 1 piece),Fishing Gear.Fishing line ( 1 meter = 1 piece),Other Trash.Other Trash,"Other Trash.Appliances (fridges, washers, etc)",Other Trash.Balloons,Other Trash.Cigar Tips,Other Trash.Cigarette Lighters,Other Trash.Construction Materials,Other Trash.Fireworks,Other Trash.Tyres,Items of Local Concern,Items of Local Concern.Foam Pieces,Items of Local Concern.Glass Pieces,Items of Local Concern.Plastic Pieces,Items of Local Concern.Rubber Bands,Packaging Materials,Packaging Materials.6-pack holders,Packaging Materials.Other Plastic / Foam Packaging,"Packaging Materials.Other Plastic Bottles (oil, bleach, etc)",Packaging Materials.Strapping bands,Packaging Materials.Tobacco Packaging / Wrappers,Personal Hygiene,Personal Hygiene.Condoms,Personal Hygiene.Diapers,Personal Hygiene.Syringes,Personal Hygiene.Tampons / Tampon Applicators,Dead / Injured Animals,Dead / Injured Animals.What Animal?,Dead / Injured Animals.Dead or Injured?,Dead / Injured Animals.Is the animal entangled? Entangled by what?,Comments
164,2018,Changi Beach 2,43358,Kleen-Pak Products Pte Ltd,Tan Yuan Ming,41,17,71,400,2014,1413,41,103,48,1,408,,1263,1026,100,3,2,45,15,3,55,14,,,,,,,,,,41,8,9,11,13,48,0,6,4,4,19,14,1,408,42,56,232,78,103,0,53,1,35,14,1,0,1,0,0,,-,,,
165,2018,Changi Beach 4,43358,Immigration & Checkpoints Authority AND Singapore Customs,Ong Boon Kwan,50,18,36,1500,3090,1956,59,269,27,2,777,,1626,1029,206,8,67,142,18,65,79,12,,,,,,,,,,59,1,1,12,45,27,0,3,3,13,5,3,0,777,354,75,314,34,269,0,135,5,50,79,2,0,0,2,0,,0,,,
166,2018,Changi Beach 4,43358,KBC Bank N.V. Singapore Branch,Katelyn So,18,10,38,300,1087,659,3,93,6,0,326,,553,289,65,22,13,92,8,12,22,30,,,,,,,,,,3,0,1,1,1,6,0,1,0,3,2,0,0,326,87,9,212,18,93,0,56,0,22,15,0,0,0,0,0,,Crab,,,
167,2018,Changi Beach 4 ,43358,Mun Siong Engineering Limited ,Airani ,34,10,56,800,1708,1126,39,46,22,2,473,,952,638,109,8,11,77,10,30,51,18,,,,,,,,,,39,2,20,5,12,22,0,0,0,8,14,0,0,473,249,2,200,22,46,0,0,4,21,21,2,1,1,0,0,,Fish,,,
168,2018,East Coast Park Beach 1,15th September 2018,Kowabunga! Education,Cherie,16,2,6,50,982,441,1,3,2,1,534,,431,258,35,0,0,14,2,0,122,0,,,,,,,,,,1,0,0,0,1,2,0,1,0,1,0,0,0,534,471,0,53,10,3,0,2,0,0,1,1,1,0,0,0,,0,,,
169,2018,East Coast Park Beach 1,"Saturday, 15 September 2018",Citibank Singapore O&T,Venus,24,8,53,500,1549,677,26,42,32,0,772,,494,218,114,4,12,48,4,11,75,8,,,,,,,,,,26,1,4,19,2,32,16,1,4,8,2,0,1,772,418,47,304,3,42,0,5,3,13,21,0,0,0,0,0,,Mouse,,,
170,2018,East Coast Park Beach 2,"Saturday, 15 September 2018",Advantest (Singapore) Pte Ltd,Leong Mei Leng,59,6,29,650,1547,772,3,4,12,0,756,,623,176,115,3,0,100,0,0,209,20,,,,,,,,,,3,0,0,3,0,12,0,0,0,12,0,0,0,756,361,0,391,4,4,0,2,2,0,0,0,0,0,0,0,,0,,,
171,2018,East Coast Park Beach 3,43358,Shinnyo-en Singapore,Cherene Chan,90,22,77,900,3712,1919,15,154,90,5,1529,,1634,1129,119,33,20,75,33,34,158,33,,,,,,,,,,15,2,7,6,0,90,0,20,50,3,16,0,1,1529,1185,52,251,41,154,0,90,9,28,27,5,1,0,0,4,,Crab x 2,,,
172,2018,East Coast Park Beach 4,43358,NYP Geo council,Celestine,20,6,6,400,1589,704,12,106,71,0,696,,689,535,32,5,0,6,4,0,101,6,,,,,,,,,,12,0,3,7,2,71,0,5,61,2,3,0,0,696,502,0,188,6,106,0,80,0,5,21,0,0,0,0,0,,0,,,
173,2018,East Coast Park Beach 4,43358,UFE (Union des Français de l'Etranger),Florence Quillet,22,6,25,100,3595,1615,44,122,13,6,1795,,1473,981,164,22,0,83,17,40,143,23,,,,,,,,,,44,1,25,14,4,13,0,5,2,4,1,1,0,1795,1011,12,749,23,122,1,53,15,49,4,6,0,0,1,5,,0,,,
174,2018,East Coast Park Beach 5,43358,Tokyo Century Leasing (S) Pte Ltd,Ong Kean Lai / Angeline,36,18,15.3kg,500,3615,2434,24,311,62,2,782,,2161,1506,329,36,23,87,23,9,128,20,,,,,,,,,,24,0,5,12,7,62,0,45,1,1,14,0,1,782,241,15,417,109,311,0,223,4,32,52,2,1,0,1,0,,Crab,,,
175,2018,East Coast Park Beach 5,"Saturday, 15 September 2018",GalxoSmithKline,Evan Asava Aree,13,12,87,400,2020,1355,4,148,28,4,481,,932,645,64,6,5,113,0,1,83,15,,,,,,,,,,4,2,2,0,0,28,2,0,4,4,18,0,0,481,347,5,121,8,148,6,60,58,9,15,4,1,2,0,1,,Horseshoe Crab,,,
176,2018,East Coast Park Beach Sites 6-12,"Thursday, 14 September",Raffles Girls School,ICCS,438,108,624.05,3750,31500,13264,227,1525,676,37,15771,,9299,5066,1226,153,108,1131,225,123,1006,261,,,,,,,,,,227,15,86,101,25,676,8,83,342,142,51,43,7,15771,12277,137,3128,229,1525,8,1198,198,83,38,37,14,7,10,6,,Fish,,,
177,2018,"Tanah Merah Site 1,2 and 3","Saturday, 15 September 2018",Continental Automotive Singapore,"Khadar Shareef, Lee Kok Who",70,41,137,647,3478,2466,41,76,87,3,805,,1355,407,33,24,7,242,15,50,501,76,,,,,,,,,,41,4,18,16,3,87,7,8,3,57,7,1,4,805,541,5,235,24,76,0,55,18,2,1,3,0,1,2,0,,0,,,
178,2018,Tanah Merah,"Sunday, 2 September 2018",Ai Xin Society ,Tan Geok Hean,120,33,110,520,6889,3883,139,398,79,1,2389,,3348,1216,182,37,271,522,3,301,720,96,,,,,,,,,,139,1,9,116,13,79,1,18,17,19,22,1,1,2389,995,4,1321,69,398,0,341,8,36,13,1,0,0,1,0,,Dead fish,,,
179,2018,Tanah Merah 4,"Saturday, 15 September 2018",Colugo scouts (Open),Man Pui Suen,33,4,19,270,1838,416,3,26,39,2,1352,,368,236,17,6,7,53,0,7,42,0,,,,,,,,,,3,0,3,0,0,39,0,1,7,1,30,0,0,1352,1144,7,192,9,26,0,13,3,4,6,2,0,0,2,0,,Frog,,,
180,2018,Tanah Merah 5,"Saturday, 15 September 2018","Adrian, Jen and Beth ",Adrian lim,41,18,46,136,2190,1040,32,129,37,1,951,,821,236,72,10,131,91,8,36,152,85,,,,,,,,,,32,4,7,15,6,37,0,0,20,9,8,0,0,951,507,38,399,7,129,1,59,42,16,11,1,0,0,1,0,,Crab,,,
181,2018,TM 7,"Saturday, 15 September 2018","CAPT, NUS","Toh Tai Chong, Joelle Lai",72,38,203,100,10308,3200,30,151,105,11,6811,,2251,185,451,17,9,155,4,55,1345,30,,,,,,,,,,30,1,4,17,8,105,3,1,35,53,12,0,1,6811,6488,5,293,25,151,0,122,14,11,4,11,5,2,3,1,,Sand dollar,,,
182,2018,Tanah Merah 7,15th September 2018,RVRC,Lim Cheng Puay,320,94,757,300,7548,4944,107,677,72,4,1744,,1839,37,541,91,108,207,12,61,751,31,,,,,,,,,,107,13,37,48,9,72,6,8,0,30,25,0,3,1744,1196,20,516,12,677,0,536,108,19,14,4,1,2,1,0,,Crab,,,
183,2018,Tanah Merah 7,"Saturday, 29 September 2018","Guardians of the S.E.A.A., RWS",Nivedha Tamilselvan,74,19,118,400,2963,1388,30,211,65,3,1266,,719,93,126,21,144,57,0,1,262,15,,,,,,,,,,30,2,10,16,2,65,1,1,20,30,13,0,0,1266,1038,33,190,5,211,0,175,14,19,3,3,0,2,1,0,,0,,,
184,2017,Lim Chu Kang Beach,"Saturday, 9 September 2017",Environmental Resources Management (S) Pte Ltd,Ivan Tay,9,5,28,20,354,257,8,2,5,0,82,354,257,1,10,1,4,2,1,1,113,1,9,3,1,48,53,0,0,9,0,8,0,3,5,0,5,0,0,0,0,5,0,0,82,27,11,44,0,2,0,1,1,0,0,0,0,0,0,0,,Horseshoe crab,,,
185,2017,Lim Chu Kang Beach,"Saturday, 9 September 2017",Naval Base Secondary School,Simon Teo,76,17,83,50,1116,553,6,78,25,6,448,1116,553,34,79,4,17,26,6,11,62,10,57,11,9,55,115,32,6,7,12,6,1,1,4,0,25,0,1,1,8,14,0,1,448,76,13,354,5,78,0,47,18,8,5,6,2,2,2,0,,Nil,,,
186,2017,Lim Chu Kang Beach,"Saturday, 9 September 2017",Republic Polytechnic Conservation Interest Group,Lim Siew Kin,17 ,8 ,45.0 ,60,190,102,6,4,0,1,77,190,102,0,18,0,0,3,0,0,19,1,3,0,0,32,21,2,0,2,1,6,1,1,4,0,0,0,0,0,0,0,0,0,77,29,7,39,2,4,0,3,0,1,0,1,1,0,0,0,,Nil,,,
187,2017,Lim Chu Kang East Mangroves,"Saturday, 9 September 2017",Alpha Phi Omega,Michael Manjares Anastacio,18,15,190,120,229,139,16,13,7,3,51,229,139,6,13,15,4,2,1,2,4,0,14,27,4,7,31,1,0,3,5,16,0,9,6,1,7,0,0,0,2,3,0,2,51,11,24,9,7,13,0,5,4,1,3,3,3,0,0,0,,Crab,,,
188,2017,Lim Chu Kang East Mangroves,"Saturday, 9 September 2017",Little Green Men,Sarah Bennett,14,12,146,50,1185,526,10,18,28,2,601,1185,526,2,68,10,10,24,3,8,95,9,39,5,6,95,126,0,0,19,7,10,0,4,5,1,28,2,0,0,11,15,0,0,601,377,0,223,1,18,0,0,14,4,0,2,0,0,2,0,,Nil,,,
189,2017,Lim Chu Kang East Mangroves,"Saturday, 9 September 2017",Singapore American School,Steve Early,60,47,219,50,1451,910,21,40,9,0,471,1451,910,1,155,31,17,37,1,7,91,4,54,16,26,125,272,24,4,32,13,21,2,7,8,4,9,1,0,0,2,5,0,1,471,178,12,256,25,40,0,27,11,0,2,0,0,0,0,0,,Nil,,,
190,2017,Sungei Buloh West Mangroves,"Saturday, 9 September 2017",GSK,Melvin Wong / Prakash Natarajan,7,8,82,50,590,461,10,12,12,1,94,590,461,2,31,2,0,2,4,3,114,0,8,44,4,10,224,0,3,10,0,10,10,0,0,0,12,1,0,0,1,7,0,3,94,10,58,25,1,12,0,8,2,2,0,1,1,0,0,0,,Nil,,,
191,2017,Sungei Buloh West Mangroves,"Saturday, 9 September 2017",Jurong Secondary School,Muhammad Faidzil Abdul Rahman,44,42,194,60,2357,1513,43,73,11,4,713,2357,1513,75,174,102,166,44,0,76,105,23,78,86,16,187,64,0,0,162,155,43,2,15,22,4,11,0,0,0,2,7,0,2,713,342,203,168,0,73,3,17,35,18,0,4,0,4,0,0,,Fish,,,
192,2017,Sungei Buloh Wetland Reserve,"Saturday, 9 December 2017","Friends of Buloh, Maybank, CN Volunteers, Loyang Secondary School, SBWR",Shufen & Eunice ,81,85,602,400,5856,4131,25,236,40,1,1423,5856,4131,0,393,99,9,116,14,21,1131,33,220,58,154,728,945,9,7,154,40,25,0,5,14,6,40,2,1,0,18,13,0,6,1423,309,29,1077,8,236,0,181,41,7,7,1,0,1,0,0,,Nil,,,
193,2017,Kranji Bund Mangroves,"Saturday, 9 September 2017",Nature Society (Singapore),Kerry Pereira,12,14,260,50,635,341,6,15,68,0,205,635,341,0,16,0,0,5,0,2,2,7,8,70,4,41,175,0,2,8,1,6,0,3,3,0,68,0,0,0,0,68,0,0,205,4,161,27,13,15,0,4,0,11,0,0,0,0,0,0,,NIL,,,
194,2017,Sembawang Beach,"Saturday, 23 September 2017",Ardentec Singapore Pte Ltd,Chin Kok Seng,33,7,16,100,201,152,0,3,10,0,36,201,152,94,17,4,13,4,0,0,4,3,8,1,0,3,0,1,0,0,0,0,0,0,0,0,10,0,1,0,0,6,3,0,36,20,1,10,5,3,0,0,0,3,0,0,0,0,0,0,,Crab,,,
195,2017,Sembawang Beach ,"Saturday, 23 September 2017",Northland Primary School ,Vanan,20,4,16,150,298,76,6,13,13,0,190,298,76,12,3,2,4,7,0,3,12,4,5,0,2,17,0,0,3,0,2,6,0,6,0,0,13,0,0,12,1,0,0,0,190,56,107,27,0,13,0,6,5,0,2,0,0,0,0,0,,crabs,,,
196,2017,Pulau Seletar,"Saturday, 30 September 2017",Maritime and Port Authority of Singapore (MPA),Avonda Lim,121,80,494,450,6838,2304,76,222,112,5,4119,6838,2304,695,89,74,191,212,12,76,146,67,386,49,13,64,89,5,20,66,50,76,5,14,54,3,112,0,6,4,86,9,0,7,4119,3870,29,211,9,222,0,128,67,20,7,5,1,1,3,0,,Horseshoe Crab,,,
197,2017,Punggol Beach 1,"Saturday, 23 September 2017",Alfa Laval Singapore Pte Ltd,Amrita Barua,19,9,121,100,1121,544,79,91,28,1,378,1121,544,81,33,24,21,42,1,10,20,10,51,22,9,42,117,2,2,19,38,79,2,21,49,7,28,0,0,0,13,15,0,0,378,226,59,91,2,91,1,58,18,13,1,1,0,1,0,0,,Crabs (5),,,
198,2017,Punggol Beach 2,"Saturday, 23 September 2017",ONE (Singapore),Iman Fahim Hameed,17,10,123,200,490,200,16,63,12,0,199,490,200,11,10,12,0,9,1,7,22,1,37,13,5,25,23,3,0,18,3,16,0,8,3,5,12,1,0,1,6,4,0,0,199,128,2,66,3,63,0,50,10,0,3,0,0,0,0,0,,Nil,,,
199,2017,Punggol Beach 1,"Saturday, 23 September 2017",PacificLight Power Pte Ltd,Ryan Tan,9,6,66,200,141,91,3,13,7,5,22,141,91,8,4,0,5,7,3,0,2,0,14,6,15,14,2,4,0,5,2,3,0,0,2,1,7,0,3,0,0,4,0,0,22,3,7,8,4,13,0,3,3,0,7,5,0,2,3,0,,Nil,,,
200,2017,Punggol Beach 2,"Saturday, 23 September 2017",YTL PowerSeraya Pte Ltd,Kevin W F Lee,17,5,22,200,199,118,5,20,2,0,54,199,118,30,0,0,0,4,0,0,22,1,13,3,6,13,7,0,2,10,7,5,0,2,3,0,2,1,0,0,0,0,0,1,54,33,2,18,1,20,0,20,0,0,0,0,0,0,0,0,,Nil,,,
201,2017,Sungei Seletar 1,"Saturday, 23 September 2017",Trash Hero Singapore,Stella Cochrane,9,10,86,15,630,463,11,63,16,1,76,630,463,0,71,12,11,6,0,24,136,7,6,19,5,70,80,0,5,11,0,11,0,0,10,1,16,0,0,0,6,10,0,0,76,73,2,1,0,63,0,51,6,2,4,1,0,1,0,0,,NIL,,,
202,2017,Sungei Seletar 2,"Saturday, 23 September 2017",Paia Consulting & APS Asset Management,Ning Li and Weiren,16,13,102,100,878,690,11,32,4,6,135,878,690,0,234,3,0,18,2,0,141,1,79,7,8,21,108,0,0,62,6,11,0,0,10,1,4,0,0,0,2,1,0,1,135,55,20,60,0,32,0,20,8,0,4,6,0,6,0,0,,Nil,,,
203,2017,  Pulau Serangoon (Coney Island) Beach A ,"Saturday, 23 September 2017",Earthlink NTU Nature Guiding Committee,"Goh Shu Hui Gina, Ong Jo-Anne, Chua Kai Ting",54,24,106,200,3332,583,52,91,39,0,2567,3332,583,25,33,7,0,37,3,18,35,6,168,12,5,19,32,1,1,8,173,52,5,13,34,0,39,0,2,0,15,9,1,12,2567,2402,3,157,5,91,3,43,31,12,2,0,0,0,0,0,,Fish,,,
204,2017,Pulau Serangoon (Coney Island) Beach A,"Saturday, 23 September 2017",TechnipFMC,Rain Neo,35,27,303,250,1163,763,10,50,25,3,312,1163,763,32,12,12,13,45,16,26,59,226,31,13,4,55,190,0,2,19,8,10,0,4,6,0,25,0,0,0,23,0,0,2,312,297,7,8,0,50,0,41,4,5,0,3,0,3,0,0,,NIL,,,
205,2017,Pulau Serangoon (Coney Island) Beach B,"Saturday, 23 September 2017",NUS Environmental Science and Engineering Student Club,Koh Jing Chie,40,17,123,200,469,268,11,34,12,1,143,469,268,13,10,9,4,8,9,1,6,5,54,8,3,40,71,1,1,20,5,11,0,7,4,0,12,1,1,2,5,3,0,0,143,80,10,50,3,34,0,27,6,1,0,1,0,0,1,0,,NIL,,,
206,2017,Pulau Serangoon (Coney Island) Beach B,"Saturday, 23 September 2017",WEC Engineers and Constructors Pte Ltd,Jessica Atienza,16,5,49,200,491,358,13,6,6,2,106,491,358,0,0,143,0,5,3,1,2,6,118,13,7,26,20,0,0,5,9,13,1,3,8,1,6,0,0,0,2,3,0,1,106,39,3,50,14,6,0,1,3,2,0,2,0,2,0,0,,NIL,,,
207,2017,Pulau Serangoon (Coney Island) Beach C & D,"Saturday, 23 September 2017",DHL Singapore,DHL Singapore,160,136,1214,500,2036,1411,79,105,62,5,374,2036,1411,37,58,17,49,72,52,28,76,43,460,143,88,80,100,29,14,41,24,79,1,34,36,8,62,2,0,1,55,2,0,2,374,256,2,110,6,105,2,61,16,16,10,5,1,2,1,1,,Nil,,,
208,2017,Pulau Serangoon (Coney Island) Beach E,"Saturday, 23 September 2017",Arup Singapore Pte Ltd,Saket Sarupria,39,36,527,200,1431,731,81,72,23,3,521,1431,731,8,11,6,18,54,2,8,184,21,155,8,5,93,125,0,0,29,4,81,1,20,58,2,23,1,0,1,18,0,0,3,521,332,47,138,4,72,0,28,29,15,0,3,0,3,0,0,,Fish,,,
209,2017,Pulau Serangoon (Coney Island) Beach E,"Saturday, 23 September 2017",Scoot 4 Good,Paul Sim,12,14,373,200,238,80,58,30,0,0,70,238,80,0,0,0,0,10,0,0,0,0,30,0,5,0,20,0,0,5,10,58,0,8,50,0,0,0,0,0,0,0,0,0,70,10,0,60,0,30,0,30,0,0,0,0,0,0,0,0,,NIL,,,
210,2017,Pasir Ris Beach 1,"Saturday, 23 September 2017",Nanyang Polytechnic Geo Council,Nanyang Polytechnic Geo Council,37,5,6,300,282,158,11,112,0,0,1,282,158,117,13,3,0,3,1,2,4,1,5,5,0,0,4,0,0,0,0,11,0,4,1,6,0,0,0,0,0,0,0,0,1,0,0,0,1,112,0,112,0,0,0,0,0,0,0,0,,NIL,,,
211,2017,Pasir Ris Beach 1,"Saturday, 30 September 2017",Overseas Family School,Jean Curry,7,2,6,40,587,306,12,21,8,0,240,587,306,68,28,2,5,25,1,11,100,10,15,0,12,6,15,0,0,3,5,12,0,7,0,5,8,0,1,0,1,0,6,0,240,200,0,40,0,21,0,0,0,16,5,0,0,0,0,0,,NIL,,,
212,2017,Pasir Ris Beach 1,"Saturday, 23 September 2017",Singapore Polytechnic Diploma in Biomedical Science,Tong Bing Teck,18,9,78,300,882,507,37,28,32,1,277,882,507,186,115,7,6,13,2,2,12,0,8,6,11,7,35,6,0,88,3,37,0,16,7,14,32,0,3,17,0,11,1,0,277,84,64,112,17,28,0,10,0,12,6,1,0,0,0,1,,Starfish X2,,,
213,2017,Pasir Ris Beach 2,23rd September 2017,Geodis Wilson Singapore Pte Ltd,Larrisa Seah,18,5,21,200,239,138,2,87,4,0,8,239,138,33,4,0,1,2,25,0,15,0,2,0,1,3,29,17,3,2,1,2,0,0,2,0,4,0,0,0,0,4,0,0,8,2,0,1,5,87,8,35,20,10,14,0,0,0,0,0,,NIL,,,
214,2017,Pasir Ris Beach 2,"Saturday, 23 September 2017",ST Aerospace Supplies Pte Ltd,Teo Lee Tong,50,24,163,200,1388,924,49,81,32,0,302,1388,924,343,81,8,0,22,6,4,182,24,5,12,1,43,166,10,4,10,3,49,0,19,2,28,32,0,10,13,3,4,2,0,302,122,30,146,4,81,0,51,3,9,18,0,0,0,0,0,,Crab,,,
215,2017,Pasir Ris Beach 6,"Saturday, 9 September 2017",Bukit Batok Secondary School,One Earth Club,46,54,236,20,1878,461,4,486,5,8,914,1878,461,2,5,21,23,5,2,3,6,60,167,6,10,60,23,0,0,16,52,4,0,1,2,1,5,0,0,0,2,0,0,3,914,899,0,15,0,486,0,0,239,244,3,8,3,0,5,0,,Fish,,,
216,2017,Pasir Ris Beach 6,"Saturday, 23 September 2017",BW Monastery,Chee Ai Leen,39,14,101,200,1075,688,58,57,11,7,254,1075,688,24,119,12,1,17,3,38,106,5,41,8,4,54,222,13,2,15,4,58,5,7,20,26,11,1,1,1,5,3,0,0,254,80,23,149,2,57,0,46,10,1,0,7,0,1,4,2,,Small Crabs (2),,,
217,2017,Pasir Ris Beach 6,"Saturday, 23 September 2017",Mediacorp Pte Ltd,Oh Pei Ling,40,29,358,600,1341,1080,9,55,20,4,173,1341,1080,0,283,10,0,15,0,2,189,15,127,11,3,35,316,3,0,55,16,9,0,4,4,1,20,1,0,0,5,13,0,1,173,39,44,87,3,55,0,39,7,9,0,4,0,4,0,0,,Nil,,,
218,2017,Pasir Ris Beach 6,"Saturday, 23 September 2017",Tian Hua Holy House,Kenneth Tan and Tang Li Pheng,31,12,87,300,1150,789,14,40,24,0,283,1150,789,28,39,20,40,8,9,3,94,6,115,20,12,90,245,7,12,38,3,14,1,5,6,2,24,0,0,2,10,12,0,0,283,112,16,148,7,40,0,24,8,6,2,0,0,0,0,0,,Nil,,,
219,2017,Sungei Tampines Mangroves,"Saturday, 21 October 2017",Renesas & Disty,Joel,50,21,134,50,932,742,17,57,21,0,95,932,742,35,73,25,4,39,7,2,110,24,96,9,21,53,118,69,14,32,11,17,0,10,7,0,21,0,0,3,11,5,2,0,95,57,2,32,4,57,0,49,2,5,1,0,0,0,0,0,,Bird,,,
220,2017,Jelutong Beach (Pulau Ubin East excl. Chek Jawa),"Saturday, 23 September 2017",NUS Trees N Trunks 17,Chong Zhen Yi,15,13,63,100,1413,884,23,67,37,1,401,1413,884,5,61,92,6,114,0,37,97,77,166,19,14,24,103,3,2,64,0,23,3,1,10,9,37,0,1,5,25,3,0,3,401,141,29,194,37,67,0,39,19,7,2,1,0,0,0,1,,NIL,,,
221,2017,Ubin Jetty Beach (Pulau Ubin East excl. Chek Jawa),"Saturday, 23 September 2017",Tata Consultancy Services Asia Pacific Pte Ltd,Tata Consultancy Services Asia Pacific Pte Ltd,16,11,147,100,884,641,60,63,23,3,94,884,641,24,50,57,0,62,14,37,100,37,57,17,19,24,38,6,12,57,30,60,10,20,25,5,23,0,0,8,11,4,0,0,94,7,46,39,2,63,0,38,22,1,2,3,0,0,2,1,,Crabs (2),,,
222,2017,Chek Jawa North 1 and 2,"Saturday, 9 September 2017",Bedok South Secondary School (BDS) + NUS Bachelor of Environme,Edzra (BDS) and Ernest (BES),34 (BDS) + 39 (BES),50,438,250,1233,545,39,295,4,0,350,1233,545,0,3,2,0,3,0,3,3,4,291,79,18,57,71,0,0,8,3,39,0,2,37,0,4,0,0,0,0,1 bucket,0,4,350,325,8,17,0,295,0,282,13,0,0,0,0,0,0,0,,Skull of animal,,,
223,2017,Chek Jawa North 1 and 2,"Saturday, 9 September 2017",Bedok South Secondary School (BDS) + NUS Bachelor of Environme,Edzra (BDS) and Ernest (BES),73,50,438,250,1233,545,39,295,4,0,350,1233,545,0,3,2,0,3,0,3,3,4,291,79,18,57,71,0,0,8,3,39,0,2,37,0,4,0,0,0,0,1 bucket,0,4,350,325,8,17,0,295,0,282,13,0,0,0,0,0,0,0,,Skull of animal,,,
224,2017,Chek Jawa Central 1,"Saturday, 9 September 2017",Queenstown 03 Barracuda Sea Venture Scouts,Josh Goh,16,11,38,100,503,292,1,29,8,1,172,503,292,0,30,17,2,3,0,1,4,2,123,9,6,5,23,0,6,14,47,1,1,0,0,0,8,3,0,0,4,1,0,0,172,120,20,32,0,29,0,19,3,0,7,1,1,0,0,0,,Nil,,,
225,2017,Chek Jawa Central 1 & 2,"Saturday, 9 September 2017","University Scholars Programme, NUS",Leung Wing Sze,8,5,49,15,423,203,14,40,16,1,149,423,203,2,29,5,5,9,1,3,14,7,31,15,1,16,41,0,0,15,9,14,0,4,10,0,16,0,2,1,4,9,0,0,149,54,49,45,1,40,0,21,7,10,2,1,0,0,1,0,,Nil,,,
226,2017,Chek Jawa Central 3-4,"Saturday, 9 September 2017",Catholic High School,Ng Se Yean / Claire Tan,17,41,187,50,1624,1047,20,185,23,0,349,1624,1047,0,86,35,6,41,1,19,20,21,377,26,14,103,184,14,19,49,32,20,0,11,9,0,23,0,3,0,14,5,0,1,349,128,6,212,3,185,0,123,59,2,1,0,0,0,0,0,,Nil,,,
227,2017,Chek Jawa South 1 - 3,"Saturday, 9 September 2017",Sukyo Mahikari,Michelle Lau,42,46,194,150,2326,1727,19,152,44,0,384,2326,1727,3,119,76,22,153,16,58,129,70,542,87,26,25,181,50,21,120,29,19,2,11,6,0,44,0,2,1,18,14,0,9,384,240,16,121,7,152,0,102,39,4,7,0,0,0,0,0,,Nil,,,
228,2017,Changi Beach 1,"Saturday, 23 September 2017",Colugo Scouts Group,Justin Chong,60,6,18,400,2078,839,31,39,100,6,1063,2078,839,443,82,9,8,53,33,8,58,14,27,17,6,15,20,11,4,10,21,31,0,6,9,16,100,7,5,71,9,8,0,0,1063,447,77,460,79,39,0,22,0,12,5,6,0,0,6,0,,NIL,,,
229,2017,Changi Beach 2 ,"Saturday, 23 September 2017",Ricoh (Singapore) Pte Ltd,Felicia Kang,34,6,33,500,1132,637,20,102,15,1,357,1132,637,376,24,1,0,39,11,4,40,3,33,16,12,14,43,11,1,9,0,20,0,3,2,15,15,0,5,0,4,1,5,0,357,171,23,146,17,102,0,91,5,0,6,1,0,0,0,1,,Nil,,,
230,2017,Changi Beach 3,"Saturday, 23 September 2017",Compassvale Secondary School,Tay Siew Woon,120,19,34,0,3414,1186,86,96,62,5,1979,3414,1186,604,118,14,47,86,6,30,75,42,37,2,13,16,20,10,18,33,15,86,8,15,7,56,62,3,1,15,15,28,0,0,1979,1266,46,609,58,96,0,65,4,16,11,5,2,1,1,1,,NIL,,,
231,2017,Changi Beach 4,"Saturday, 23 September 2017",Young Parents-ICCS,Airani S,99,36,135,700,5839,3376,189,463,88,7,1716,5839,3376,1863,172,86,43,114,14,19,238,19,107,21,37,51,82,17,21,26,446,189,7,29,19,134,88,21,3,45,6,8,2,3,1716,978,67,593,78,463,4,384,2,43,30,7,0,4,2,1,,Seahorse,,,
232,2017,Changi Beach 4,"Thursday, 12 October 2017",ST Dynamics Pte Ltd,Darren Tan Lian Sing,42,12,36,700,1139,569,45,72,17,0,436,1139,569,293,44,2,6,46,4,6,32,15,54,4,9,4,23,8,4,3,12,45,4,13,5,23,17,0,0,0,5,11,0,1,436,264,6,158,8,72,0,52,0,3,17,0,0,0,0,0,,NIL,,,
